Buy Date,Buy Price,Sell Date,Sell Price,Profit
2020-04-27,20081.150390625,2020-04-28,20671.099609375,589.94921875
2020-04-29,21090.19921875,2020-04-30,21534.5,444.30078125
2020-06-08,21187.349609375,2020-06-15,19912.900390625,-1274.44921875
2020-06-18,20956.30078125,2020-06-29,21359.0,402.69921875
2020-07-01,21977.599609375,2020-07-13,22089.25,111.650390625
2020-07-22,22882.599609375,2020-07-27,21848.75,-1033.849609375
2020-08-24,22833.0,2020-09-04,23011.5,178.5
2020-10-09,23846.80078125,2020-10-29,24092.0,245.19921875
2020-11-03,25682.80078125,2020-12-03,29448.75,3765.94921875
2021-01-05,31722.25,2021-01-18,31811.75,89.5
2021-02-10,35783.1015625,2021-02-19,35841.6015625,58.5
2021-05-07,32904.5,2021-05-10,33142.3984375,237.8984375
2021-05-17,33459.25,2021-05-18,33922.3984375,463.1484375
2021-05-19,33685.19921875,2021-06-08,35085.30078125,1400.1015625
2021-07-06,35579.1484375,2021-07-09,35071.94921875,-507.19921875
2021-07-13,35673.3984375,2021-07-19,35079.19921875,-594.19921875
2021-08-10,36034.1015625,2021-08-18,35554.5,-479.6015625
2021-08-30,36347.6484375,2021-09-13,36471.80078125,124.15234375
2021-09-14,36613.05078125,2021-09-22,36944.6484375,331.59765625
2021-09-23,37771.69921875,2021-09-30,37425.1015625,-346.59765625
2021-10-12,38521.5,2021-10-28,39508.94921875,987.44921875
2022-01-05,37695.8984375,2022-01-06,37490.25,-205.6484375
2022-01-07,37739.6015625,2022-01-10,38347.8984375,608.296875
2022-01-11,38442.19921875,2022-01-20,37850.8515625,-591.34765625
2022-02-02,39330.5,2022-02-07,37995.44921875,-1335.05078125
2022-03-30,36334.30078125,2022-03-31,36373.6015625,39.30078125
2022-04-01,37148.5,2022-04-04,38635.19921875,1486.69921875
2022-04-05,38067.8984375,2022-04-18,36729.0,-1338.8984375
2022-06-01,35620.80078125,2022-06-02,35613.6484375,-7.15234375
2022-06-03,35275.05078125,2022-06-06,35310.19921875,35.1484375
2022-07-08,35124.05078125,2022-07-11,35469.6484375,345.59765625
2022-07-12,35132.25,2022-08-22,38297.75,3165.5
2022-09-09,40415.69921875,2022-09-22,40630.6015625,214.90234375
2022-10-21,40784.05078125,2022-12-15,43498.19921875,2714.1484375
2023-04-05,40999.1484375,2023-04-06,41041.0,41.8515625
2023-04-10,40834.6484375,2023-04-11,41366.5,531.8515625
2023-04-12,41557.94921875,2023-05-05,42661.19921875,1103.25
2023-05-15,44072.1015625,2023-05-24,43677.8515625,-394.25
2023-07-04,45301.44921875,2023-07-11,44745.05078125,-556.3984375
2023-07-17,45449.75,2023-07-27,45679.30078125,229.55078125
2023-09-08,45156.3984375,2023-09-11,45570.69921875,414.30078125
2023-09-12,45511.3515625,2023-09-20,45384.6015625,-126.75
2023-11-15,44201.69921875,2023-11-16,44161.55078125,-40.1484375
2023-11-28,43880.94921875,2023-11-29,44566.44921875,685.5
