Buy Date,Buy Price,Sell Date,Sell Price,Profit
2020-04-22,9187.2998046875,2020-04-23,9313.900390625,126.6005859375
2020-04-24,9154.400390625,2020-04-27,9282.2998046875,127.8994140625
2020-04-28,9380.900390625,2020-04-29,9553.349609375,172.44921875
2020-04-30,9859.900390625,2020-05-04,9293.5,-566.400390625
2020-06-01,9826.150390625,2020-06-15,9813.7001953125,-12.4501953125
2020-06-22,10311.2001953125,2020-07-14,10607.349609375,296.1494140625
2020-07-21,11162.25,2020-07-31,11073.4501953125,-88.7998046875
2020-08-26,11549.599609375,2020-08-31,11387.5,-162.099609375
2020-10-08,11834.599609375,2020-10-15,11680.349609375,-154.25
2020-10-16,11762.4501953125,2020-10-26,11767.75,5.2998046875
2020-11-05,12120.2998046875,2020-11-10,12631.099609375,510.7998046875
2020-11-12,12690.7998046875,2020-12-21,13328.400390625,637.6005859375
2020-12-30,13981.9501953125,2021-01-18,14281.2998046875,299.349609375
2021-02-11,15173.2998046875,2021-02-19,14981.75,-191.5498046875
2021-05-07,14823.150390625,2021-05-10,14942.349609375,119.19921875
2021-05-11,14850.75,2021-05-12,14696.5,-154.25
2021-05-17,14923.150390625,2021-06-17,15691.400390625,768.25
2021-07-16,15923.400390625,2021-07-19,15752.400390625,-171.0
2021-08-10,16280.099609375,2021-09-20,17396.900390625,1116.80078125
2021-09-24,17853.19921875,2021-09-30,17618.150390625,-235.048828125
2021-10-13,18161.75,2021-10-22,18114.900390625,-46.849609375
2021-12-31,17354.05078125,2022-01-03,17625.69921875,271.6484375
2022-01-04,17805.25,2022-01-05,17925.25,120.0
2022-01-06,17745.900390625,2022-01-19,17938.400390625,192.5
2022-03-22,17315.5,2022-03-23,17245.650390625,-69.849609375
2022-03-24,17222.75,2022-03-25,17153.0,-69.75
2022-03-28,17222.0,2022-04-12,17530.30078125,308.30078125
2022-07-12,16058.2998046875,2022-07-13,15966.650390625,-91.6494140625
2022-07-15,16049.2001953125,2022-08-22,17490.69921875,1441.4990234375
2022-09-13,18070.05078125,2022-09-16,17530.849609375,-539.201171875
2022-10-24,17730.75,2022-11-21,18159.94921875,429.19921875
2022-11-29,18618.05078125,2022-12-07,18560.5,-57.55078125
2023-02-15,18015.849609375,2023-02-16,18035.849609375,20.0
2023-04-11,17722.30078125,2023-04-12,17812.400390625,90.099609375
2023-04-13,17828.0,2023-04-21,17624.05078125,-203.94921875
2023-04-24,17743.400390625,2023-05-17,18181.75,438.349609375
2023-05-29,18598.650390625,2023-06-09,18563.400390625,-35.25
2023-06-21,18856.849609375,2023-06-23,18665.5,-191.349609375
2023-06-30,19189.05078125,2023-07-27,19659.900390625,470.849609375
2023-09-13,20070.0,2023-09-21,19742.349609375,-327.650390625
2023-11-15,19675.44921875,2023-11-16,19765.19921875,89.75
2023-11-17,19731.80078125,2023-11-20,19694.0,-37.80078125
